game_season,game_result,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
58,W (+9),36:35,6,16,.375,6,13,.462,1,2,.500,0,1,1,11,2,2,3,5,19,+6
59,W (+15),30:53,6,11,.545,5,8,.625,5,6,.833,0,2,2,7,2,1,2,3,22,+23
60,W (+8),31:58,3,9,.333,2,2,1.000,4,4,1.000,0,1,1,4,3,0,1,4,12,+15
61,W (+18),35:46,14,24,.583,7,13,.538,1,2,.500,3,3,6,5,4,0,3,4,36,+23
62,W (+7),33:57,4,15,.267,1,7,.143,0,0,,1,4,5,11,1,0,1,3,9,+8
63,W (+31),26:56,8,15,.533,6,10,.600,3,3,1.000,0,3,3,11,3,0,2,1,25,+30
64,W (+3),32:40,5,14,.357,2,6,.333,7,7,1.000,0,4,4,9,3,0,2,6,19,-3
65,W (+19),29:41,4,11,.364,2,6,.333,6,6,1.000,1,3,4,12,0,0,1,4,16,+17
66,W (+16),27:02,4,17,.235,2,10,.200,6,6,1.000,0,2,2,11,0,0,0,3,16,+11
67,W (+15),32:14,8,18,.444,3,6,.500,5,5,1.000,1,2,3,3,3,0,0,0,24,+12
68,W (+31),28:16,8,14,.571,5,8,.625,3,3,1.000,1,4,5,6,2,0,1,2,24,+30
69,W (+14),35:26,13,22,.591,5,9,.556,2,2,1.000,0,2,2,10,1,0,2,2,33,+12
